#Flat plate skin friction results using CFL3D on 545x385, postprocessed
VARIABLES = "cf","retheta"
ZONE T="SA"
 3.035763977E-03 3.955332764E+03
 3.032337641E-03 3.980832031E+03
 3.028913401E-03 4.006544434E+03
 3.025488928E-03 4.032445801E+03
 3.022067249E-03 4.058534180E+03
 3.018644406E-03 4.084805664E+03
 3.015222959E-03 4.111324219E+03
 3.011802211E-03 4.138047363E+03
 3.008380765E-03 4.164982422E+03
 3.004960483E-03 4.192100098E+03
 3.001540899E-03 4.219456543E+03
 2.998120384E-03 4.247052246E+03
 2.994698705E-03 4.274867676E+03
 2.991277725E-03 4.302897949E+03
 2.987856744E-03 4.331141113E+03
 2.984433901E-03 4.359660156E+03
 2.981011057E-03 4.388414551E+03
 2.977587283E-03 4.417403320E+03
 2.974161645E-03 4.446600586E+03
 2.970735077E-03 4.476100586E+03
 2.967307577E-03 4.505850098E+03
 2.963878214E-03 4.535851074E+03
 2.960447222E-03 4.566091797E+03
 2.957015065E-03 4.596606934E+03
 2.953581046E-03 4.627414062E+03
 2.950144233E-03 4.658496094E+03
 2.946705092E-03 4.689843262E+03
 2.943263855E-03 4.721448242E+03
 2.939820755E-03 4.753389648E+03
 2.936374163E-03 4.785626465E+03
 2.932925010E-03 4.818134766E+03
 2.929472597E-03 4.850917480E+03
 2.926017391E-03 4.884058105E+03
 2.922559157E-03 4.917519531E+03
 2.919096965E-03 4.951276367E+03
 2.915631281E-03 4.985324707E+03
 2.912162337E-03 5.019737793E+03
 2.908688737E-03 5.054508789E+03
 2.905211644E-03 5.089601074E+03
 2.901730593E-03 5.125006348E+03
 2.898244653E-03 5.160792969E+03
 2.894754522E-03 5.196946289E+03
 2.891259501E-03 5.233468750E+03
 2.887759358E-03 5.270333984E+03
 2.884254791E-03 5.307568848E+03
 2.880744170E-03 5.345232910E+03
 2.877228893E-03 5.383274414E+03
 2.873708261E-03 5.421693359E+03
 2.870180644E-03 5.460507324E+03
 2.866648370E-03 5.499774902E+03
 2.863109577E-03 5.539463379E+03
 2.859564265E-03 5.579542969E+03
 2.856012667E-03 5.620055664E+03
 2.852454549E-03 5.661055176E+03
 2.848890144E-03 5.702500488E+03
 2.845317824E-03 5.744368164E+03
 2.841738984E-03 5.786724121E+03
 2.838152461E-03 5.829576172E+03
 2.834558254E-03 5.872922852E+03
 2.830956364E-03 5.916726074E+03
 2.827346092E-03 5.961048340E+03
 2.823728602E-03 6.005916504E+03
 2.820102731E-03 6.051318848E+03
 2.816466847E-03 6.097186035E+03
 2.812823979E-03 6.143664551E+03
 2.809170634E-03 6.190709961E+03
 2.805508208E-03 6.238318848E+03
