#Flat plate skin friction results using CFL3D on 545x385, postprocessed
# (Results here given to greater accuracy than convergence tolerance)
VARIABLES = "cf","retheta"
ZONE T="SST"
 3.027290571E-03 3.953379883E+03
 3.023806494E-03 3.978543701E+03
 3.020322882E-03 4.003935059E+03
 3.016840667E-03 4.029561523E+03
 3.013359383E-03 4.055375488E+03
 3.009881359E-03 4.081358887E+03
 3.006403334E-03 4.107486816E+03
 3.002926707E-03 4.133913086E+03
 2.999451710E-03 4.160547363E+03
 2.995976713E-03 4.187377441E+03
 2.992504276E-03 4.214368652E+03
 2.989032771E-03 4.241588867E+03
 2.985561732E-03 4.269085449E+03
 2.982089296E-03 4.296804688E+03
 2.978619421E-03 4.324716797E+03
 2.975149546E-03 4.352787109E+03
 2.971678507E-03 4.381207031E+03
 2.968207467E-03 4.409862305E+03
 2.964737359E-03 4.438741211E+03
 2.961266553E-03 4.467806641E+03
 2.957794815E-03 4.497133301E+03
 2.954322612E-03 4.526776367E+03
 2.950849012E-03 4.556674805E+03
 2.947375644E-03 4.586790039E+03
 2.943900879E-03 4.617102539E+03
 2.940424718E-03 4.647796875E+03
 2.936946927E-03 4.678772949E+03
 2.933467505E-03 4.709996582E+03
 2.929986222E-03 4.741418457E+03
 2.926503075E-03 4.773191406E+03
 2.923019230E-03 4.805310059E+03
 2.919531660E-03 4.837707520E+03
 2.916042460E-03 4.870340820E+03
 2.912550466E-03 4.903257324E+03
 2.909055678E-03 4.936587891E+03
 2.905559260E-03 4.970233398E+03
 2.902058885E-03 5.004149414E+03
 2.898555482E-03 5.038305664E+03
 2.895048587E-03 5.072931641E+03
 2.891538199E-03 5.107901367E+03
 2.888025017E-03 5.143181152E+03
 2.884506946E-03 5.178690430E+03
 2.880985849E-03 5.214693359E+03
 2.877459163E-03 5.251083984E+03
 2.873929217E-03 5.287813477E+03
 2.870393917E-03 5.324801758E+03
 2.866853960E-03 5.362254883E+03
 2.863309346E-03 5.400162598E+03
 2.859759843E-03 5.438442383E+03
 2.856204752E-03 5.477022949E+03
 2.852644771E-03 5.516049805E+03
 2.849079203E-03 5.555585449E+03
 2.845507581E-03 5.595531738E+03
 2.841929207E-03 5.635807129E+03
 2.838342218E-03 5.676525879E+03
 2.834749641E-03 5.717823730E+03
 2.831148915E-03 5.759552734E+03
 2.827543300E-03 5.801636719E+03
 2.823929768E-03 5.844217285E+03
 2.820308320E-03 5.887405273E+03
 2.816680819E-03 5.931052246E+03
 2.813045867E-03 5.975083496E+03
 2.809403697E-03 6.019672363E+03
 2.805753145E-03 6.064896484E+03
 2.802094677E-03 6.110618652E+03
 2.798428293E-03 6.156734863E+03
 2.794753294E-03 6.203527344E+03
 2.791069215E-03 6.250967285E+03
 2.787376987E-03 6.298929688E+03
 2.783674747E-03 6.347269531E+03
 2.779964358E-03 6.396483887E+03
 2.776243724E-03 6.446308594E+03
 2.772513311E-03 6.496677734E+03
 2.768772887E-03 6.547545410E+03
 2.765021753E-03 6.599311523E+03
 2.761261771E-03 6.651724609E+03
 2.757489681E-03 6.704672363E+03
 2.753706183E-03 6.758334961E+03
 2.749912208E-03 6.812885742E+03
 2.746106824E-03 6.868096680E+03
 2.742289100E-03 6.923798828E+03
 2.738459269E-03 6.980595215E+03
 2.734617330E-03 7.038167480E+03
 2.730763517E-03 7.096367188E+03
 2.726895735E-03 7.155347168E+03
 2.723014681E-03 7.215381836E+03
 2.719121287E-03 7.276210449E+03
 2.715212991E-03 7.337623535E+03
 2.711290959E-03 7.400305664E+03
 2.707354492E-03 7.463878906E+03
 2.703403123E-03 7.528162598E+03
 2.699435689E-03 7.593501465E+03
 2.695453120E-03 7.659995117E+03
 2.691454021E-03 7.727356934E+03
 2.687442815E-03 7.795587402E+03
 2.683427418E-03 7.865327148E+03
 2.679378958E-03 7.936079102E+03
 2.675306983E-03 8.007203125E+03
 2.671295777E-03 8.078827637E+03
 2.667343477E-03 8.150324707E+03
 2.663426800E-03 8.221361328E+03
 2.659558319E-03 8.292722656E+03
 2.655735007E-03 8.363959961E+03
 2.651958726E-03 8.434838867E+03
 2.648226684E-03 8.505668945E+03
 2.644538879E-03 8.576598633E+03
 2.640894614E-03 8.647319336E+03
 2.637293423E-03 8.717648438E+03
 2.633733209E-03 8.788279297E+03
 2.630214673E-03 8.858761719E+03
 2.626735950E-03 8.928974609E+03
 2.623296576E-03 8.999021484E+03
 2.619896550E-03 9.069252930E+03
 2.616533544E-03 9.139321289E+03
 2.613208024E-03 9.209034180E+03
 2.609918360E-03 9.278799805E+03
 2.606665948E-03 9.348647461E+03
 2.603447298E-03 9.418324219E+03
 2.600263339E-03 9.487623047E+03
 2.597113140E-03 9.557071289E+03
 2.593996236E-03 9.626532227E+03
 2.590911463E-03 9.695838867E+03
 2.587859286E-03 9.764817383E+03
 2.584839007E-03 9.833875977E+03
 2.581848763E-03 9.902987305E+03
 2.578888787E-03 9.971966797E+03
 2.575959079E-03 1.004064648E+04
 2.573058242E-03 1.010926172E+04
 2.570186276E-03 1.017804004E+04
 2.567342948E-03 1.024670996E+04
 2.564527094E-03 1.031514648E+04
 2.561739413E-03 1.038331348E+04
 2.558977576E-03 1.045174902E+04
 2.556243213E-03 1.052009375E+04
 2.553534228E-03 1.058830078E+04
